"","WBIC","site_id"
"813",1322400,"nhd_14705712"
"814",1322400,NA
"815",253800,"nhd_9033853"
"816",29700,"nhd_12161466"
"817",837100,"nhd_13282356"
"818",515800,NA
"819",2340700,"nhd_13343982"
"820",1840400,"nhd_12987579"
"821",2749900,NA
"822",2899000,NA
"823",2755600,"nhd_1816177"
"824",2732600,"nhd_1849501"
"825",2918600,"nhd_1813827"
"826",1868900,"nhd_13343298"
"827",2712800,"nhd_1852919"
"828",2649500,"nhd_2643622"
"829",2243500,"nhd_12991307"
"830",2273900,NA
"831",650000,"nhd_6842611"
"832",2502000,"nhd_2264213"
"833",1543300,"nhd_13394221"
"834",652500,"nhd_6842607"
"835",1535000,"nhd_13394339"
"836",1506200,"nhd_14726112"
"837",387200,"nhd_9028333"
"838",191900,"nhd_9026349"
"839",2495000,"nhd_2646804"
"840",587800,"nhd_6847715"
"841",1513000,"nhd_13400551"
"842",2079100,"nhd_13083971"
"843",994800,"nhd_13630673"
"844",1267400,"nhd_120052474"
"845",1226100,"nhd_13634341"
"846",741700,"nhd_14767902"
"847",816600,"nhd_13294782"
"848",1336200,"nhd_14705806"
"849",66800,"nhd_12173086"
"850",179800,"nhd_6866693"
"851",2468300,"nhd_1849619"
"852",2449300,"nhd_1849627"
"853",2294500,"nhd_13345374"
"854",2326700,"nhd_13343450"
"855",2406500,"nhd_13117646"
"856",1005700,"nhd_13391555"
"857",2423900,"nhd_13118656"
"858",2486300,"nhd_2262491"
"859",2313600,"nhd_13345510"
"860",2495200,"nhd_2262413"
"861",1838600,"nhd_13117650"
"862",2338800,"nhd_13343568"
"863",2328800,"nhd_13343614"
"864",2533000,"nhd_13078037"
"865",972000,"nhd_13394319"
"866",1612100,"nhd_13394403"
"867",2275300,"nhd_13349678"
"868",400,"nhd_12168905"
"869",1838500,"nhd_13123948"
"870",1445500,"nhd_14726320"
"871",384700,NA
"872",1017400,"nhd_14726194"
"873",967200,"nhd_14726248"
"874",2452200,"nhd_2646814"
"875",2626300,NA
"876",999700,"nhd_14726360"
"877",2607600,"nhd_13105365"
"878",1412200,"nhd_14730296"
